№,Проверка,Результат,Коментарий,,
,Тестирование связи,,,,
1,"Проверить стабильность функциональности при Wi-Fi, 4G/5G, в 
офлайн режиме.",Done,,,
2,Измерить задержку.,Done,,,
3,"Проверить работу при переключении между Wi-Fi и мобильным 
интернетом во время использования приложения.",Done,,,
4,Эмуляция слабого сигнала или прерываний.,Faill,,,
5,Проверить наличие сообщений при отсутсвии интернета. ,Done,"https://qastudents.atlassian.net/browse/LT-449?atlOrigin=eyJpIjoiNTFiZmQxMmI5NTdhNGI2Njg2YjkyYjQxNjc2YTgzMTEiLCJwIjoiaiJ9 
",, 
,Тестирование прерываний,,,,
6,"Проверить системные прерывания( входящие звонки, смс, 
пуш уведомления, переключение в фоновый режим).",Done,,,
7,"Аппаратные прерывания (Отключение зарядки, низкий уровень 
заряда, подключение сторонних устройст через Bluetooth).",Done,,,
,Взаимодействие нон-стоп,,,,
8,Оставить приложение активным 24+ часов.,Done,,,
9,"Множество быстрых действий (свайпы, тапы).",Done,,,
10,Проверить работу уведомлений.,Done,,,
,Тестирование геолокации ,,,,
11,Проверить работу определения локации пользователя.,Faill,,,
12,Отключить GPS во время использования приложения.,Done,,,
,Тестирование потребления ресурсов.,,,,
13,Замерить расход батареи в активном и фоновом режимах.,Done,,,
14,Проверить использование ресурсов при разной нагрузке.,Done,,,
15,Контроль объёма кэша и данных синхронизации.,Done,,,
,Инсталяционное тестирование.,,,,
16,Проверить установку приложения и его удаление.,Done,,,
17,Обновить приложение с предыдущей версии.,Done,,,
18,"Проверить установку приложения при нехватке памяти на 
устройстве.",Done,,,